ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode,Boek
240,wunderschön,prachtig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
241,de braadworst,die Bratwurst,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
242,de vis,der Fisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
243,de fles,die Flasche,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
244,de gehaktbal,die Frikadelle,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
245,de groente,das Gemüse,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
246,de vork,die Gabel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
247,de lepel,der Löffel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
248,het mes,das Messer,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
249,het mineraalwater,das Mineralwasser,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
250,de pasta,die Nudeln,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
251,het sinaasappelsap,der Orangensaft,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
252,de rijst,der Reis,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
253,der Anfänger,de beginner,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
254,das Angebot,de aanbieding,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
255,die Anzeige,de advertentie,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
256,der Bäcker,de bakker,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
257,sich ernähren von,zich voeden met / eten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
258,der Geschirrspüler,de vaatwasser,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
259,der Keks,het koekje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
260,kochen,koken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
261,der Konditor,de banketbakker,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
262,der Kühlschrank,de koelkast,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
263,die Lebensmittel,de levensmiddelen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
264,das Obst,het fruit,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
265,aufpassen,opletten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
266,benutzen,gebruiken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
267,die Erdnussbutter,de pindakaas,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
268,das Fleisch,het vlees,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
269,frisch,vers,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
270,der Geschmack,de smaak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
271,die Milch,de melk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
272,der Müll,het afval,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
273,die Pflanze,de plant,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
274,sonst,anders,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
275,wachsen,groeien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
276,die Zutaten,de ingrediënten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
277,het brood,das Brot,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
278,de boter,die Butter,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
279,de azijn,der Essig,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
280,de kaas,der Käse,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
281,de noot,die Nuss,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
282,de olie,das Öl,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
283,de peper,der Pfeffer,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
284,de ham,der Schinken,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
285,de mosterd,der Senf,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
286,zuur,sauer,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
287,pittig,scharf,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
288,zoet,süß,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
289,der Alltag,het dagelijks leven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
290,die Art,het soort,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
291,der Auftritt,het optreden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
292,außer,behalve,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
293,die Brücke,de brug,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
294,herstellen,produceren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
295,die Kirche,de kerk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
296,klappen,lukken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
297,proben,oefenen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
298,die Stimme,de stem,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
299,taub,doof,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
300,vorne,vooraan,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
301,also,dus,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
302,die Bühne,het podium,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
303,erklären,uitleggen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
304,erreichen,bereiken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
305,die Geschichte,het verhaal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
306,das Herz,het hart,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
307,meistens,meestal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
308,nie,nooit,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
309,reichen,voldoende zijn,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
310,der Streit,de ruzie,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
311,versuchen,proberen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
312,zu Hause,thuis,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
313,uitslapen,ausschlafen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
314,luieren,faulenzen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
315,tv-kijken,fernsehen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
316,met vrienden afspreken,sich mit Freunden treffen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
317,spelletjes op de telefoon spelen,auf dem Handy Spiele spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
318,op internet surfen,im Internet surfen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
319,naar muziek / de radio luisteren,Musik / Radio hören,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
320,slagwerk spelen,Schlagzeug spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
321,winkelen,shoppen gehen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
322,aan sport doen,Sport treiben,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
323,telefoneren,telefonieren,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
324,naar video’s / films kijken,Videos / Filme gucken,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
325,das Gebäude,het gebouw,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
326,die Großstadt,de grote stad,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
327,die Lösung,de oplossing,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
328,mieten,huren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
329,der Nachteil,het nadeel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
330,der Quadratmeter,de vierkante meter,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
331,selbstständig,zelfstandig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
332,die Steuer,de belasting,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
333,die Umwelt,het milieu,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
334,vor allem,vooral,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
335,der Vorteil,het voordeel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
336,die Wohnung,het appartement,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
337,der Anfang,het begin,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
338,außerdem,bovendien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
339,draußen,buiten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
340,im Fernsehen,op tv,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
341,mittlerweile,inmiddels,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
342,der Nachbar,de buurman,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
343,nachfragen,informeren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
344,schlimm,erg,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
345,schmutzig,vies,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
346,tatsächlich,"werkelijk, echt",Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
347,umziehen,verhuizen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
348,eine Weile,een poosje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
349,oud,alt,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
350,ouderwets,altmodisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
351,donker,dunkel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
352,"gezellig, knus",gemütlich,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
353,groot,groß,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
354,lelijk,hässlich,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
355,licht,hell,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
356,hoog,hoch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
357,modern,modern,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
358,nieuw,neu,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
359,laag,niedrig,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
360,mooi,schön,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
361,das Ausland,het buitenland,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
362,bestimmt,beslist,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
363,deswegen,daarom,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
364,ein Drittel,een derde,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
365,das Erlebnis,de belevenis,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
366,die Fremdsprache,de vreemde taal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
367,gehören zu,behoren tot,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
368,der Grund,de reden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
369,Lust haben auf,zin hebben in,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
370,die Muttersprache,de moedertaal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
371,nirgendwo,nergens,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
372,ein Viertel,een kwart,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
373,ärgerlich,vervelend,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
374,bis,tot,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
375,die Grenze,de grens,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
376,jährlich,jaarlijks,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
377,die Leute,de mensen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
378,das Mal,de keer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
379,das Meer,de zee,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
380,sauber,schoon,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
381,schützen vor,beschermen tegen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
382,der See,het meer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
383,die Veranstaltung,het evenement,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
384,werfen,gooien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
385,België,Belgien,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
386,Denemarken,Dänemark,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
387,Frankrijk,Frankreich,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
388,Griekenland,Griechenland,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
389,Groot-Brittannië,Großbritannien,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
390,Italië,Italien,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
391,Kroatië,Kroatien,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
392,Nederland,die Niederlande,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
393,Spanje,Spanien,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
394,Turkije,die Türkei,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
395,Hongarije,Ungarn,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
396,Verenigde Staten,die USA,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
397,anrufen,opbellen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
398,ausfüllen,invullen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
399,im Durchschnitt,gemiddeld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
400,ernst nehmen,serieus nemen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
401,erwachsen,volwassen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
402,die Fahrt,de rit,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
403,feiern,"feesten, vieren",Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
404,der Führerschein,het rijbewijs,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
405,gebraucht,tweedehands,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
406,die öffentlichen Verkehrsmittel,het openbaar vervoer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
407,das Rad,het wiel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
408,der Stau,de file,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
409,das Abenteuer,het avontuur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
410,der Ausflug,het uitstapje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
411,entfernt,vandaan,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
412,das Gepäck,de bagage,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
413,die Haltestelle,de halte,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
414,die Sehenswürdigkeit,de bezienswaardigheid,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
415,der Spaziergang,de wandeling,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
416,umsteigen,overstappen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
417,der Unfall,het ongeluk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
418,verfügen über,beschikken over,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
419,die Verspätung,de vertraging,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
420,die Welt,de wereld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
421,uitstappen,aussteigen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
422,de auto,das Auto,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
423,het station,der Bahnhof,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
424,de bus,der Bus,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
425,instappen,einsteigen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
426,het vliegveld,der Flughafen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
427,het vliegtuig,das Flugzeug,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
428,lopend,zu Fuß,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
429,het schip,das Schiff,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
430,de tram,die Straßenbahn,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
431,de metro,die U-Bahn,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
432,de trein,der Zug,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
433,ebenfalls,"ook, tevens, eveneens",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
434,der Einfluss,de invloed,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
435,die Erholung,de ontspanning,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
436,der Felsen,de rots,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
437,flach,vlak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
438,hügelig,heuvelachtig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
439,die Insel,het eiland,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
440,die Küste,de kust,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
441,in der Nähe,in de buurt,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
442,der Wald,het bos,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
443,weich,zacht,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
444,zwischen,tussen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
445,außerdem,bovendien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
446,bestätigen,bevestigen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
447,buchen,boeken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
448,das Fenster,het raam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
449,kaum,nauwelijks,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
450,der Prospekt,de folder,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
451,die Sachen,de spullen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
452,schicken,sturen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
453,vergessen,vergeten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
454,vermieten,verhuren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
455,der Vertrag,het contract,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
456,vor kurzem,kort geleden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
457,de pinpas,die EC-Karte,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
458,de gevonden voorwerpen,die Fundsachen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
459,de handdoek,das Handtuch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
460,het mobieltje,das Handy,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
461,het luchtbed,die Luftmatratze,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
462,het paspoort,der Reisepass,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
463,de reistas,die Reisetasche,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
464,de slaapzak,der Schlafsack,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
465,de zonnebril,die Sonnenbrille,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
466,de zonnebrandcrème,die Sonnencreme,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
467,de parasol,der Sonnenschirm,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
468,het zakmes,das Taschenmesser,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
469,die Ausnahme,de uitzondering,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
470,bestimmt,"zeker, beslist",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
471,insgesamt,in totaal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
472,jährlich,jaarlijks,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
473,sich kümmern um,zorgen voor,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
474,laut,"hard, hardop",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
475,die Mauer,de muur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
476,schlimm,erg,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
477,schützen vor,beschermen tegen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
478,die Sehenswürdigkeit,de bezienswaardigheid,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
479,winzig,piepklein,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
